Disease	Disease1	ICD-11_Code	Category
Certain specified chronic obstructive pulmonary disease	Certain specified chronic obstructive pulmonary disease	CA22.1	0
Chronic obstructive pulmonary disease with acute exacerbation, unspecified	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	CA22.0	0
Asthma	Asthma	CA23	0
Allergic asthma	Allergic asthma	CA23.0	0
Non-allergic asthma	Non-allergic asthma	CA23.1	0
Unspecified asthma	Unspecified asthma	CA23.3	0
Bronchiectasis	Bronchiectasis	CA24	0
Lung diseases due to external agents, unspecified	Lung diseases due to external agents, unspecified	CA8Z	0
Coal worker pneumoconiosis	Coal worker pneumoconiosis	CA60.1	0
Pneumoconiosis due to mineral fibres including asbestos	Pneumoconiosis due to mineral fibres including asbestos	CA60.2	0
Pneumoconiosis due to dust containing silica, unspecified	Pneumoconiosis due to dust containing silica, unspecified	CA60.0Z	0
Pneumoconiosis due to talc dust	Pneumoconiosis due to talc dust	CA60.00	0
Pneumoconiosis, unspecified	Pneumoconiosis, unspecified	CA60.Z	0
Aluminosis of lung	Aluminosis of lung	CA60.4	0
Bauxite fibrosis of lung	Bauxite fibrosis of lung	CA60.5	0
Berylliosis	Berylliosis	CA60.6	0
Graphite fibrosis of lung	Graphite fibrosis of lung	CA60.7	0
Siderosis	Siderosis	CA60.8	0
Stannosis	Stannosis	CA60.9	0
Pneumoconiosis associated with tuberculosis	Pneumoconiosis associated with tuberculosis	CA60.3	0
Airway disease due to specific organic dust, unspecified	Airway disease due to specific organic dust, unspecified	CA80.Z	0
Byssinosis	Byssinosis	CA80.0	0
Flax-dresser disease	Flax-dresser disease	CA80.1	0
Cannabinosis	Cannabinosis	CA80.2	0
Hypersensitivity pneumonitis due to organic dust, unspecified	Hypersensitivity pneumonitis due to organic dust, unspecified	CA70.Z	0
Farmer lung	Farmer lung	CA70.0	0
Bagassosis	Bagassosis	CA70.1	0
Bird fancier lung	Bird fancier lung	CA70.2	0
Suberosis	Suberosis	CA70.3	0
Malt worker lung	Malt worker lung	CA70.4	0
Mushroom worker lung	Mushroom worker lung	CA70.5	0
Maple bark stripper lung	Maple bark stripper lung	CA70.6	0
Air conditioner or humidifier lung	Air conditioner or humidifier lung	CA70.7	0
Respiratory conditions due to inhalation of chemicals, gases, fumes or vapours, unspecified	Respiratory conditions due to inhalation of chemicals, gases, fumes or vapours, unspecified	CA81.Z	0
Bronchitis or pneumonitis due to chemicals, gases, fumes or vapours	Bronchitis or pneumonitis due to chemicals, gases, fumes or vapours	CA81.0	0
Pulmonary oedema due to chemicals, gases, fumes or vapours	Pulmonary oedema due to chemicals, gases, fumes or vapours	CA81.1	0
Upper respiratory inflammation due to chemicals, gases, fumes or vapours, not elsewhere classified	Upper respiratory inflammation due to chemicals, gases, fumes or vapours, not elsewhere classified	CA81.2	0
Pneumonitis due to solids and liquids, unspecified	Pneumonitis due to solids and liquids, unspecified	CA71.Z	0
Pneumonitis due to inhalation of food or vomit	Pneumonitis due to inhalation of food or vomit	CA71.0	0
Pneumonitis due to oils or essences	Pneumonitis due to oils or essences	CA71.1	0
Respiratory conditions due to other external agents, unspecified	Respiratory conditions due to other external agents, unspecified	CA82.Z	0
Acute pulmonary manifestations due to radiation	Acute pulmonary manifestations due to radiation	CA82.0	0
Chronic or other pulmonary manifestations due to radiation	Chronic or other pulmonary manifestations due to radiation	CA82.1	0
Acute drug-induced interstitial lung disorders	Acute drug-induced interstitial lung disorders	CA82.2	0
Chronic drug-induced interstitial lung disorders	Chronic drug-induced interstitial lung disorders	CA82.3	0
Respiratory diseases principally affecting the lung interstitium, unspecified	Respiratory diseases principally affecting the lung interstitium, unspecified	CB0Z	0
Acute respiratory distress syndrome	Acute respiratory distress syndrome	CB00	0
Pulmonary oedema	Pulmonary oedema	CB01	0
Pulmonary eosinophilia, unspecified	Pulmonary eosinophilia, unspecified	CB02.Z	0
Abscess of lung or mediastinum, unspecified	Abscess of lung or mediastinum, unspecified	CA43.Z	0
Gangrene or necrosis of lung	Gangrene or necrosis of lung	CA43.0	0
Abscess of lung with pneumonia	Abscess of lung with pneumonia	CA43.1	0
Abscess of lung without pneumonia	Abscess of lung without pneumonia	CA43.2	0
Abscess of mediastinum	Abscess of mediastinum	CA43.3	0
Pyothorax	Pyothorax	CA44	0
Pleural, diaphragm or mediastinal disorders, unspecified	Pleural, diaphragm or mediastinal disorders, unspecified	CB2Z	0
Pleural effusion	Pleural effusion	CB27	0
Pleural plaque	Pleural plaque	CB20	0
Pneumothorax, unspecified	Pneumothorax, unspecified	CB21.Z	0
Spontaneous tension pneumothorax	Spontaneous tension pneumothorax	CB21.0	0
Other spontaneous pneumothorax	Other spontaneous pneumothorax	CB21.1	0
Chylous effusion	Chylous effusion	CB24	0
Fibrothorax	Fibrothorax	CB25	0
Haemothorax	Haemothorax	CB26	0
Certain diseases of the respiratory system	Certain diseases of the respiratory system	CB40	0
Tracheostomy malfunction	Tracheostomy malfunction	CB60	0
Acute respiratory failure, unspecified	Acute respiratory failure, unspecified	CB41.0Z	0
Chronic pulmonary insufficiency following surgery	Chronic pulmonary insufficiency following surgery	CB61	0
Mendelson syndrome	Mendelson syndrome	CA72	0
Postprocedural subglottic stenosis	Postprocedural subglottic stenosis	CB62	0
Respiratory failure	Respiratory failure	CB41	0
Chronic respiratory failure, unspecified	Chronic respiratory failure, unspecified	CB41.1Z	0
Respiratory failure, unspecified	Respiratory failure, unspecified	CB41.2Z	0
Pulmonary collapse	Pulmonary collapse	CB40.2	0
Interstitial emphysema	Interstitial emphysema	CB40.3	0
Compensatory emphysema	Compensatory emphysema	CB40.4	0
Diseases of mediastinum, not elsewhere classified, unspecified	Diseases of mediastinum, not elsewhere classified, unspecified	CB22.Z	0
Disorders of diaphragm	Disorders of diaphragm	CB23	0
Respiratory infections, not elsewhere classified	Respiratory infections, not elsewhere classified	CA45	0
Interstitial lung diseases associated with connective tissue diseases / Rheumatoid arthritis	Interstitial lung diseases associated with connective tissue diseases / Rheumatoid arthritis	CB05.1/FA20	0
Diseases of the digestive system, unspecified	Diseases of the digestive system, unspecified	DE2Z	0
Diseases or disorders of orofacial complex, unspecified	Diseases or disorders of orofacial complex, unspecified	DA0Z	0
Disorders of tooth development or eruption, unspecified	Disorders of tooth development or eruption, unspecified	DA07.Z	0
Anodontia	Anodontia	LA30.0	0
Hyperdontia	Hyperdontia	LA30.3	0
Abnormalities of size or form of teeth	Abnormalities of size or form of teeth	LA30.4	0
Fluoride related opacities or lesions	Fluoride related opacities or lesions	DA07.0	0
Disturbances in tooth formation	Disturbances in tooth formation	DA07.3	0
Structural developmental anomalies of teeth and periodontal tissues, unspecified	Structural developmental anomalies of teeth and periodontal tissues, unspecified	LA30.Z	0
Disturbances in tooth eruption, unspecified	Disturbances in tooth eruption, unspecified	DA07.6Z	0
Teething syndrome	Teething syndrome	DA07.60	0
Embedded teeth	Embedded teeth	DA07.7	0
Impacted teeth	Impacted teeth	DA07.8	0
Dental caries	Dental caries	DA08.0	0
Certain specified diseases of hard tissues of teeth	Certain specified diseases of hard tissues of teeth	DA08.1	0
Excessive attrition of teeth	Excessive attrition of teeth	DA08.10	0
Abrasion of teeth	Abrasion of teeth	DA08.11	0
Erosion of teeth	Erosion of teeth	DA08.12	0
Pathological resorption of teeth	Pathological resorption of teeth	DA08.14	0
Cementum dysplasia	Cementum dysplasia	DA07.5	0
Ankylosis of teeth	Ankylosis of teeth	DA07.61	0
Deposits on teeth	Deposits on teeth	DA08.4	0
Posteruptive colour changes of dental hard tissues	Posteruptive colour changes of dental hard tissues	DA08.15	0
Diseases of pulp or periapical tissues, unspecified	Diseases of pulp or periapical tissues, unspecified	DA09.Z	0
Pulpitis	Pulpitis	DA09.0	0
Necrosis of pulp	Necrosis of pulp	DA09.1	0
Pulp degeneration	Pulp degeneration	DA09.4	0
Abnormal hard tissue formation in pulp	Abnormal hard tissue formation in pulp	DA09.5	0
Acute apical periodontitis of pulpal origin	Acute apical periodontitis of pulpal origin	DA09.70	0
Chronic apical periodontitis	Chronic apical periodontitis	DA09.71	0
Periapical abscess with sinus	Periapical abscess with sinus	DA09.61	0
Periapical abscess without sinus	Periapical abscess without sinus	DA09.62	0
Radicular cyst	Radicular cyst	DA09.8	0
Gingival diseases, unspecified	Gingival diseases, unspecified	DA0B.Z	0
Acute periodontitis	Acute periodontitis	DA0C.0	0
Periodontal disease, unspecified	Periodontal disease, unspecified	DA0C.Z	0
Periodontosis	Periodontosis	DA0C.2	0
Certain specified disorders of gingival or edentulous alveolar ridge	Certain specified disorders of gingival or edentulous alveolar ridge	DA0D	0
Gingival recession	Gingival recession	DA0D.0	0
Gingival enlargement	Gingival enlargement	DA0D.1	0
Gingival or edentulous alveolar ridge lesions associated with trauma	Gingival or edentulous alveolar ridge lesions associated with trauma	DA0D.2	0
Dentofacial anomalies, unspecified	Dentofacial anomalies, unspecified	DA0E.Z	0
Major anomalies of jaw size, unspecified	Major anomalies of jaw size, unspecified	DA0E.0Z	0
Anomalies of jaw-cranial base relationship	Anomalies of jaw-cranial base relationship	DA0E.1	0
Anomalies of dental arch relationship	Anomalies of dental arch relationship	DA0E.2	0
Anomalies of tooth position	Anomalies of tooth position	DA0E.3	0
Malocclusion, unspecified	Malocclusion, unspecified	DA0E.5Z	0
Dentofacial functional abnormalities	Dentofacial functional abnormalities	DA0E.6	0
Temporomandibular joint disorders	Temporomandibular joint disorders	DA0E.8	0
Unspecified disorders of teeth and supporting structures	Unspecified disorders of teeth and supporting structures	DA0A.Z	0
Exfoliation of teeth due to systemic causes	Exfoliation of teeth due to systemic causes	DA0A.0	0
Loss of teeth due to accident, extraction or local periodontal disease	Loss of teeth due to accident, extraction or local periodontal disease	DA0A.1	0
Atrophy of edentulous alveolar ridge	Atrophy of edentulous alveolar ridge	DA0A.2	0
Retained dental root	Retained dental root	DA0A.3	0
Cysts of oral or facial-neck region, unspecified	Cysts of oral or facial-neck region, unspecified	DA05.Z	0
Developmental odontogenic cysts	Developmental odontogenic cysts	DA05.0	0
Developmental nonodontogenic cysts of oral region	Developmental nonodontogenic cysts of oral region	DA05.1	0
Certain specified diseases of jaws	Certain specified diseases of jaws	DA06	0
Giant cell granuloma, central	Giant cell granuloma, central	DA01.20	0
Inflammatory conditions of jaws	Inflammatory conditions of jaws	DA06.0	0
Alveolitis of jaw	Alveolitis of jaw	DA06.1	0
Diseases of salivary glands, unspecified	Diseases of salivary glands, unspecified	DA04.Z	0
Atrophy of salivary gland	Atrophy of salivary gland	DA04.0	0
Hypertrophy of salivary gland	Hypertrophy of salivary gland	DA04.1	0
Sialoadenitis	Sialoadenitis	DA04.2	0
Abscess of salivary gland	Abscess of salivary gland	DA04.3	0
Sialolithiasis	Sialolithiasis	DA04.4	0
Mucocele of salivary gland	Mucocele of salivary gland	DA04.5	0
Disturbances of salivary secretion	Disturbances of salivary secretion	DA04.6	0
Disorders of oral mucosa	Disorders of oral mucosa	DA01	0
Oral aphthae or aphtha-like ulceration	Oral aphthae or aphtha-like ulceration	DA01.10	0
Cellulitis or abscess of soft tissues of the mouth	Cellulitis or abscess of soft tissues of the mouth	DA01.30	0
Miscellaneous specified disorders of lips or oral mucosa	Miscellaneous specified disorders of lips or oral mucosa	DA02	0
Disorders of lips	Disorders of lips	DA00	0
Body-focused repetitive behaviour disorders, unspecified	Body-focused repetitive behaviour disorders, unspecified	6B25.Z	0
Hairy leukoplakia	Hairy leukoplakia	DA01.01	0
Granuloma or granuloma-like lesions of oral mucosa	Granuloma or granuloma-like lesions of oral mucosa	DA01.2	0
Oral submucous fibrosis	Oral submucous fibrosis	DA02.2	0
Irritative hyperplasia of oral mucosa, unspecified	Irritative hyperplasia of oral mucosa, unspecified	DA01.4Z	0
Diseases of tongue	Diseases of tongue	DA03	0
Glossitis	Glossitis	DA03.0	0
Geographic tongue	Geographic tongue	DA03.1	0
Median rhomboid glossitis	Median rhomboid glossitis	DA03.3	0
Hypertrophy of tongue papillae	Hypertrophy of tongue papillae	DA03.4	0
Atrophy of tongue papillae	Atrophy of tongue papillae	DA03.2	0
Burning mouth syndrome	Burning mouth syndrome	DA0F.0	0
Oesophagitis, unspecified	Oesophagitis, unspecified	DA24.Z	0
Gastro-oesophageal reflux disease, unspecified	Gastro-oesophageal reflux disease, unspecified	DA22.Z	0
Diseases of oesophagus, unspecified	Diseases of oesophagus, unspecified	DA2Z	0
Achalasia	Achalasia	DA21.0	0
Oesophageal ulcer, unspecified	Oesophageal ulcer, unspecified	DA25.Z	0
Oesophageal obstruction	Oesophageal obstruction	DA20.0	0
Perforation of oesophagus, unspecified	Perforation of oesophagus, unspecified	DA20.3Z	0
Motility disorders of oesophagus, unspecified	Motility disorders of oesophagus, unspecified	DA21.Z	0
Diverticulum of oesophagus, acquired	Diverticulum of oesophagus, acquired	DA20.1	0
Gastro-oesophageal laceration-haemorrhage syndrome	Gastro-oesophageal laceration-haemorrhage syndrome	DA26.3	0
Columnar metaplastic epithelium of the oesophagus, unspecified	Columnar metaplastic epithelium of the oesophagus, unspecified	DA23.Z	0
Gastric ulcer, unspecified	Gastric ulcer, unspecified	DA60.Z	0
Duodenal ulcer, unspecified	Duodenal ulcer, unspecified	DA63.Z	0
Peptic ulcer, site unspecified	Peptic ulcer, site unspecified	DA61	0
Anastomotic ulcer, unspecified	Anastomotic ulcer, unspecified	DA62.Z	0
Diseases of the stomach or the duodenum, unspecified	Diseases of the stomach or the duodenum, unspecified	DA7Z	0
Acute haemorrhagic gastritis of unknown aetiology	Acute haemorrhagic gastritis of unknown aetiology	DA42.72	0
Gastritis, unspecified	Gastritis, unspecified	DA42.Z	0
Alcoholic gastritis	Alcoholic gastritis	DA42.80	0
Chronic superficial gastritis of unknown aetiology	Chronic superficial gastritis of unknown aetiology	DA42.71	0
Chronic atrophic gastritis of unknown aetiology	Chronic atrophic gastritis of unknown aetiology	DA42.73	0
Duodenitis, unspecified	Duodenitis, unspecified	DA51.Z	0
Functional dyspepsia	Functional dyspepsia	DD90.3	0
Acute dilatation of stomach	Acute dilatation of stomach	DA41.1	0
Gastric outlet obstruction	Gastric outlet obstruction	DA40.0	0
Hourglass stricture and stenosis of stomach	Hourglass stricture and stenosis of stomach	DA40.4	0
Gastroduodenal motor or secretory disorders, unspecified	Gastroduodenal motor or secretory disorders, unspecified	DA41.Z	0
Gastric diverticulum	Gastric diverticulum	DA40.3	0
Obstruction of duodenum	Obstruction of duodenum	DA50.0	0
Diseases of appendix, unspecified	Diseases of appendix, unspecified	DB1Z	0
Acute appendicitis	Acute appendicitis	DB10.0	0
Acute appendicitis with generalised peritonitis	Acute appendicitis with generalised peritonitis	DB10.00	0
Acute appendicitis with localised peritonitis	Acute appendicitis with localised peritonitis	DB10.01	0
Appendicitis, unspecified	Appendicitis, unspecified	DB10.Z	0
Certain specified diseases of appendix	Certain specified diseases of appendix	DB11	0
Hyperplasia of appendix	Hyperplasia of appendix	DB11.1	0
Appendicular concretions	Appendicular concretions	DB11.2	0
Diverticulum of appendix, acquired	Diverticulum of appendix, acquired	DB11.3	0
